transaction_name;class;is_plugin
Шаблоны видов;Оформление;ЛОЖЬ
Ширина;Построение (моделирование);ЛОЖЬ
Штриховки;Управление моделью;ЛОЖЬ
Э&лемент перехода;Построение (моделирование);ЛОЖЬ
Элемент &выдавливания;Построение (моделирование);ЛОЖЬ
Элемент &сдвига;Построение (моделирование);ЛОЖЬ
Эскиз 2D траектории;Построение (моделирование);ЛОЖЬ
Эскиз армирования по площади;Построение (моделирование);ЛОЖЬ
Эскиз потолка;Построение (моделирование);ЛОЖЬ
Эскизы арматур;Построение (моделирование);ЛОЖЬ
создание отверстий;Построение (моделирование);ЛОЖЬ
создание типа;Управление моделью;ЛОЖЬ
